date,do i have covid,isPartial,State
2020-03-27,26,False,CA
2020-03-28,30,False,CA
2020-03-29,35,False,CA
2020-03-30,44,False,CA
2020-03-31,47,False,CA
2020-04-01,34,False,CA
2020-04-02,51,False,CA
2020-04-03,43,False,CA
2020-04-04,49,False,CA
2020-04-05,24,False,CA
2020-04-06,21,False,CA
2020-04-07,21,False,CA
2020-04-08,43,False,CA
2020-04-09,39,False,CA
2020-04-10,58,False,CA
2020-04-11,45,False,CA
2020-04-12,35,False,CA
2020-04-13,35,False,CA
2020-04-14,29,False,CA
2020-04-15,58,False,CA
2020-04-16,33,False,CA
2020-04-17,12,False,CA
2020-04-18,43,False,CA
2020-04-19,24,False,CA
2020-04-20,21,False,CA
2020-04-21,21,False,CA
2020-04-22,17,False,CA
2020-04-23,46,False,CA
2020-04-24,25,False,CA
2020-04-25,29,False,CA
2020-04-26,39,False,CA
2020-04-27,29,False,CA
2020-04-28,29,False,CA
2020-04-29,33,False,CA
2020-04-30,36,False,CA
2020-05-01,34,False,CA
2020-05-02,43,False,CA
2020-05-03,40,False,CA
2020-05-04,13,False,CA
2020-05-05,24,False,CA
2020-05-06,21,False,CA
2020-05-07,8,False,CA
2020-05-08,42,False,CA
2020-05-09,24,False,CA
2020-05-10,39,False,CA
2020-05-11,30,False,CA
2020-05-12,21,False,CA
2020-05-13,46,False,CA
2020-05-14,12,False,CA
2020-05-15,17,False,CA
2020-05-16,25,False,CA
2020-05-17,29,False,CA
2020-05-18,25,False,CA
2020-05-19,25,False,CA
2020-05-20,25,False,CA
2020-05-21,25,False,CA
2020-05-22,34,False,CA
2020-05-23,20,False,CA
2020-05-24,10,False,CA
2020-05-25,34,False,CA
2020-05-26,21,False,CA
2020-05-27,24,False,CA
2020-05-28,29,False,CA
2020-05-29,30,False,CA
2020-05-30,14,False,CA
2020-05-31,20,False,CA
2020-06-01,17,False,CA
2020-06-02,13,False,CA
2020-06-03,16,False,CA
2020-06-04,20,False,CA
2020-06-05,21,False,CA
2020-06-06,25,False,CA
2020-06-07,20,False,CA
2020-06-08,12,False,CA
2020-06-09,21,False,CA
2020-06-10,35,False,CA
2020-06-11,26,False,CA
2020-06-12,31,False,CA
2020-06-13,20,False,CA
2020-06-14,15,False,CA
2020-06-15,18,False,CA
2020-06-16,13,False,CA
2020-06-17,35,False,CA
2020-06-18,44,False,CA
2020-06-19,18,False,CA
2020-06-20,41,False,CA
2020-06-21,16,False,CA
2020-06-22,46,False,CA
2020-06-23,53,False,CA
2020-06-24,35,False,CA
2020-06-25,40,False,CA
2020-06-26,41,False,CA
2020-06-27,46,False,CA
2020-06-28,41,False,CA
2020-06-29,68,False,CA
2020-06-30,72,False,CA
2020-07-01,59,False,CA
2020-07-02,55,False,CA
2020-07-03,64,False,CA
2020-07-04,27,False,CA
2020-07-05,57,False,CA
2020-07-06,59,False,CA
2020-07-07,91,False,CA
2020-07-08,41,False,CA
2020-07-09,59,False,CA
2020-07-10,33,False,CA
2020-07-11,47,False,CA
2020-07-12,37,False,CA
2020-07-13,22,False,CA
2020-07-14,44,False,CA
2020-07-15,27,False,CA
2020-07-16,100,False,CA
2020-07-17,43,False,CA
2020-07-18,37,False,CA
2020-07-19,64,False,CA
2020-07-20,28,False,CA
2020-07-21,56,False,CA
2020-07-22,28,False,CA
2020-07-23,37,False,CA
2020-07-24,61,False,CA
2020-07-25,64,False,CA
2020-07-26,49,False,CA
2020-07-27,47,False,CA
2020-07-28,60,False,CA
2020-07-29,51,False,CA
2020-07-30,37,False,CA
2020-07-31,34,False,CA
2020-08-01,53,False,CA
2020-08-02,59,False,CA
2020-08-03,51,False,CA
2020-08-04,45,False,CA
2020-08-05,23,False,CA
2020-08-06,55,False,CA
2020-08-07,48,False,CA
2020-08-08,38,False,CA
2020-08-09,27,False,CA
2020-08-10,46,False,CA
2020-08-11,58,False,CA
2020-08-12,22,False,CA
2020-08-13,18,False,CA
2020-08-14,45,False,CA
2020-08-15,37,False,CA
2020-08-16,26,False,CA
2020-08-17,26,False,CA
2020-08-18,34,False,CA
2020-08-19,29,False,CA
2020-08-20,25,False,CA
2020-08-21,77,False,CA
2020-08-22,42,False,CA
2020-08-23,26,False,CA
2020-08-24,17,False,CA
2020-08-25,21,False,CA
2020-08-26,30,False,CA
2020-08-27,29,False,CA
2020-08-28,35,False,CA
2020-08-29,42,False,CA
2020-08-30,26,False,CA
2020-08-31,34,False,CA
2020-09-01,37,False,CA
2020-09-02,29,False,CA
2020-09-03,17,False,CA
2020-09-04,35,False,CA
2020-09-05,21,False,CA
2020-09-06,21,False,CA
2020-09-07,24,False,CA
2020-09-08,16,False,CA
2020-09-09,33,False,CA
2020-09-10,29,False,CA
2020-09-11,38,False,CA
2020-09-12,41,False,CA
2020-09-13,20,False,CA
2020-09-14,21,False,CA
2020-09-15,21,False,CA
2020-09-16,30,False,CA
2020-09-17,21,False,CA
2020-09-18,17,False,CA
2020-09-19,20,False,CA
2020-09-20,21,False,CA
2020-09-21,30,False,CA
2020-09-22,30,False,CA
2020-09-23,43,False,CA
2020-09-24,21,False,CA
2020-09-25,39,False,CA
2020-09-26,12,False,CA
2020-09-27,17,False,CA
2020-09-28,33,False,CA
2020-09-29,23,False,CA
2020-09-30,28,False,CA
2020-10-01,19,False,CA
2020-10-02,38,False,CA
2020-10-03,39,False,CA
2020-10-04,33,False,CA
2020-10-05,28,False,CA
2020-10-06,32,False,CA
2020-10-07,19,False,CA
2020-03-22,0,False,CO
2020-03-23,0,False,CO
2020-03-24,26,False,CO
2020-03-25,26,False,CO
2020-03-26,77,False,CO
2020-03-27,0,False,CO
2020-03-28,28,False,CO
2020-03-29,42,False,CO
2020-03-30,24,False,CO
2020-03-31,24,False,CO
2020-04-01,24,False,CO
2020-04-02,35,False,CO
2020-04-03,24,False,CO
2020-04-04,56,False,CO
2020-04-05,29,False,CO
2020-04-06,24,False,CO
2020-04-07,0,False,CO
2020-04-08,72,False,CO
2020-04-09,49,False,CO
2020-04-10,0,False,CO
2020-04-11,29,False,CO
2020-04-12,27,False,CO
2020-04-13,0,False,CO
2020-04-14,24,False,CO
2020-04-15,0,False,CO
2020-04-16,22,False,CO
2020-04-17,0,False,CO
2020-04-18,26,False,CO
2020-04-19,28,False,CO
2020-04-20,0,False,CO
2020-04-21,24,False,CO
2020-04-22,0,False,CO
2020-04-23,24,False,CO
2020-04-24,0,False,CO
2020-04-25,28,False,CO
2020-04-26,28,False,CO
2020-04-27,24,False,CO
2020-04-28,24,False,CO
2020-04-29,24,False,CO
